"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1533",2.438214,2.481429,2.381429,2.414286,1388830800,2.072945
"1534",2.446071,2.467143,2.357143,2.4575,953114400,2.11005
"1535",2.467857,2.4725,2.304643,2.319643,1149764000,1.991684
"1536",2.327857,2.416786,2.246429,2.403929,1760477600,2.064052
"1537",2.379643,2.383929,2.308571,2.311071,883498000,1.984324
"1538",2.325,2.432143,2.321429,2.415714,1160938800,2.074172
"1539",2.398571,2.486429,2.383929,2.472143,1159771200,2.122623
"1540",2.496786,2.536071,2.481429,2.520357,948175200,2.164019
"1541",2.510714,2.531786,2.486071,2.510357,575999200,2.155433
"1542",2.521071,2.528571,2.452857,2.467143,779606800,2.11833
"1543",2.464286,2.559643,2.428571,2.547143,978238800,2.187019
"1544",2.563929,2.607143,2.551071,2.5625,856917600,2.200204
"1545",2.576429,2.603214,2.542857,2.552143,534744000,2.191312
"1546",2.571071,2.575714,2.523214,2.535357,791240800,2.176899
"1547",2.556429,2.585714,2.432143,2.446071,1266980400,2.100237
"1548",2.458571,2.481786,2.429286,2.467857,763817600,2.118943
"1549",2.463929,2.499643,2.4525,2.486071,625273600,2.134582
"1550",2.478571,2.496786,2.411786,2.418571,737668400,2.076625
"1551",2.4175,2.418571,2.319286,2.338571,912665600,2.007935
"1552",2.348571,2.389286,2.324286,2.368214,872877600,2.033388
"1553",2.3675,2.4,2.333929,2.345,653251200,2.013456
"1554",2.356429,2.373929,2.278929,2.283214,799304800,1.960405
"1555",2.2875,2.303214,2.230357,2.256786,1043142800,1.937714
"1556",2.323214,2.367143,2.313929,2.345714,861187600,2.014069
"1557",2.348929,2.404286,2.339286,2.404286,642020400,2.064359
"1558",2.418214,2.43,2.34,2.365357,891996000,2.030934
"1559",2.3875,2.389286,2.296429,2.296786,749638400,1.972058
"1560",2.3125,2.340714,2.289643,2.309286,812042000,1.982791
"1561",2.329286,2.337857,2.281071,2.285357,605441200,1.962245
"1562",2.2075,2.297857,2.1925,2.2075,1345366400,1.895395
"1563",2.22,2.258929,2.188214,2.2025,1345895600,1.891103
"1564",2.207857,2.210714,2.128929,2.148571,1427826400,1.844799
"1565",2.151786,2.176429,2.108214,2.141429,1071980000,1.838666
"1566",2.155357,2.192143,2.121429,2.125357,1108072000,1.824866
"1567",2.129643,2.147857,2.080357,2.096786,1370322800,1.800334
"1568",2.111786,2.232857,2.059643,2.226071,2346834000,1.911341
"1569",2.243571,2.260714,2.1975,2.241071,1390650800,1.92422
"1570",2.258929,2.271786,2.222857,2.24,815357200,1.923301
"1571",2.273929,2.29,2.236071,2.2375,815791200,1.921154
"1572",2.217857,2.222143,2.180357,2.184643,931924000,1.87577
"1573",2.311071,2.400357,2.291071,2.400357,2233408800,2.060986
"1574",2.439286,2.573214,2.435714,2.544286,2663768800,2.184566
"1575",2.533214,2.543214,2.445357,2.4925,1545238800,2.140102
"1576",2.510357,2.533214,2.444643,2.4525,903515200,2.105757
"1577",2.463929,2.475,2.395357,2.428214,939316000,2.084905
"1578",2.428929,2.434643,2.367857,2.3825,739894400,2.045653
"1579",2.369286,2.408571,2.350357,2.373929,734678000,2.038295
"1580",2.375357,2.387143,2.298214,2.314643,721938000,1.98739
"1581",2.322857,2.373929,2.313929,2.365,794844400,2.030628
"1582",2.386429,2.392857,2.338214,2.344643,1086033200,2.013149
"1583",2.4825,2.5,2.364286,2.415357,1666982800,2.073865
"1584",2.435357,2.451429,2.373929,2.394286,788986800,2.055773
"1585",2.3875,2.39,2.339286,2.348214,707028000,2.016215
"1586",2.355714,2.378214,2.341429,2.363214,529062800,2.029094
"1587",2.380357,2.438571,2.371429,2.433929,710886400,2.089811
"1588",2.418929,2.495,2.405357,2.477143,845947200,2.126915
"1589",2.477857,2.546429,2.471429,2.513929,760037600,2.158501
"1590",2.5275,2.555,2.47,2.485714,750380400,2.134274
"1591",2.505357,2.570714,2.503929,2.557857,771663200,2.196218
"1592",2.565357,2.569643,2.506429,2.540714,686991200,2.181499
"1593",2.543571,2.603214,2.516429,2.540357,860420400,2.181193
"1594",2.566429,2.580357,2.541071,2.5675,563911600,2.204497
"1595",2.606786,2.635714,2.561429,2.5675,594851600,2.204497
"1596",2.565,2.591429,2.522143,2.536786,531666800,2.178125
"1597",2.546071,2.5475,2.486071,2.521429,459888800,2.16494
"1598",2.528214,2.53,2.4125,2.433929,812688800,2.089811
"1599",2.423214,2.453214,2.387857,2.417857,641774000,2.076012
"1600",2.406071,2.442143,2.397143,2.421071,529177600,2.078771
"1601",2.432143,2.4375,2.3125,2.320714,936740000,1.992603
"1602",2.311071,2.346429,2.288214,2.330714,754194000,2.001189
"1603",2.345714,2.366429,2.254286,2.256429,658442400,1.937407
"1604",2.259286,2.317143,2.243571,2.303929,985866000,1.978192
"1605",2.281071,2.285357,2.241786,2.263571,718975600,1.943539
"1606",2.316429,2.328214,2.25,2.255357,694414000,1.936486
"1607",2.249643,2.273214,2.198571,2.262143,916031200,1.942313
"1608",2.295,2.301786,2.260357,2.2975,463372000,1.972671
"1609",2.296786,2.305714,2.255,2.269643,432950000,1.948753
"1610",2.260357,2.260714,2.186429,2.186429,563402000,1.877305
"1611",2.205714,2.206786,2.096071,2.134643,1280977600,1.832839
"1612",2.1375,2.224286,2.125714,2.220357,942508000,1.906435
"1613",2.249643,2.253571,2.174286,2.202143,685787200,1.890796
"1614",2.183929,2.183929,2.141786,2.142857,605785600,1.839893
"1615",2.150714,2.165357,2.103929,2.132857,726037200,1.831306
"1616",2.146429,2.157143,2.083929,2.091429,750506400,1.795735
"1617",2.087143,2.176071,2.041071,2.17,1397482800,1.863198
"1618",2.185,2.198571,2.110714,2.115714,775838000,1.816587
"1619",2.121429,2.133214,2.034286,2.035714,717785600,1.747897
"1620",2.0575,2.110714,2.048571,2.083214,1080643200,1.788682
"1621",2.081429,2.099286,2.024643,2.0575,878136000,1.766603
"1622",2.046429,2.133571,2.026786,2.120714,1190383600,1.82088
"1623",2.105714,2.113929,2.054286,2.055714,838101600,1.765069
"1624",2.065357,2.077857,2.035714,2.042857,704575200,1.75403
"1625",2.0575,2.083929,2.046071,2.0525,672974400,1.76231
"1626",2.062143,2.096786,2.046429,2.066429,863296000,1.774269
"1627",2.078571,2.133929,2.073929,2.127857,965633200,1.827013
"1628",2.132857,2.148929,2.0975,2.101071,660203600,1.804014
"1629",2.113214,2.114286,2.084643,2.106786,466536000,1.808921
"1630",2.110357,2.115,2.05,2.051071,550611600,1.761084
"1631",2.046071,2.046429,1.978929,2.000714,850704400,1.717846
"1632",2.027143,2.110357,2.013929,2.106071,873398400,1.808307
"1633",2.056786,2.0625,2.017857,2.045357,739695600,1.756177
"1634",2.054286,2.077857,2.047857,2.069643,194770800,1.777029
"1635",2.041071,2.057143,2.02,2.035714,518240800,1.747897
"1636",2.038929,2.05,1.986071,1.991786,633208800,1.71018
"1637",1.981429,2.019643,1.9525,1.978571,799360800,1.698833
"1638",1.989286,2.0175,1.946429,1.964286,529345600,1.686568
"1639",1.968214,1.999643,1.9475,1.9875,825022800,1.7065
"1640",1.970357,1.972857,1.89,1.891429,927329200,1.624012
"1641",1.858214,1.932857,1.836071,1.866071,1249906000,1.602239
"1642",1.875,1.888929,1.791429,1.809643,993036800,1.553789
